Title	Link	Category	Image
Monte-Cristo et Jésus pour Sarkozy… Et vous, quel bouquin emporteriez-vous …	https://www.20minutes.fr/societe/4180493-20251020-comte-monte-cristo-sarkozy-bouquin-emporteriez-prison	votre vie, votre avis	https://img.20mn.fr/1Q8_ETZxQduInpAp__HxRyk/252x162_librairie-generale-arcachon-gironde-nouvelle-aquitaine-25-08-2023-nicolas-sarkozy-former-president-of-the-french-republic-treats-himself-to-a-whirlpool-bath-followed-by-a-dedication-session-for-his-new-book-le-temps-des-combats-at-the-librairie-generale-in-arcachon-librairie-generale-arcachon-gironde-nouvelle-aquitaine-le-25-08-2023-nicolas-sarkozy-ancien-president-de-la-republique-francaise-s-offre-un-bain-de-foulle-puis-un-session-dedicaces-de-son-nouveau-livre-a-le-temps-des-combatsa-a-la-librairie-generale-d-arcachon-dupratstephane-duprat-028-credit-stephane-duprat-sipa-2308251730
Les proches de Dany Leprince demandent la mise en examen de son ex-femme	https://www.20minutes.fr/justice/4180489-20251020-affaire-dany-leprince-pourvois-cassation-obtenir-mise-examen-ex-femme	NOUVELLE PROCÉDURE	https://img.20mn.fr/pE2g7pNiRHKzUzx6F-1rKyk/252x162_dany-leprince-c-convicted-of-the-1994-murders-of-his-brother-sister-in-law-and-two-of-their-daughters-in-the-sarthe-region-of-france-looks-on-as-his-lawyer-olivier-morice-unseen-speaks-to-the-press-at-the-court-of-cassation-in-paris-on-january-23-2025-dany-leprince-s-application-for-a-review-of-his-life-sentence-for-the-1994-murders-of-his-brother-sister-in-law-and-two-nieces-in-the-sarthe-region-has-been-referred-to-the-court-of-revision-the-investigating-committee-announced-on-january-23-2025-photo-by-dimitar-dilkoff-afp
L’Allemagne relance les primes à l’achat de voitures électriques	https://www.20minutes.fr/auto/4180476-20251020-allemagne-relance-primes-achat-voitures-electriques	economie	https://img.20mn.fr/KAZfGAFcQnSRn1IWeyby5Ck/252x162_face-a-la-crise-que-traverse-son-industrie-automobile-l-allemagne-relance-les-aides-a-l-achat-de-certains-ve-illustration-des-audi-en-pause-recherge
Auvergne-Rhône-Alpes	https://www.20minutes.fr/lyon/auvergne-rhone-alpes/	N/A	https://static.20mn.fr/region/auvergne-rhone-alpes.png
Bretagne	https://www.20minutes.fr/dossier/bretagne/	N/A	https://static.20mn.fr/region/bretagne.png
Grand Est	https://www.20minutes.fr/dossier/grand-est/	N/A	https://static.20mn.fr/region/grand-est.png
Hauts-de-France	https://www.20minutes.fr/lille/hauts-france/	N/A	https://static.20mn.fr/region/hauts-de-france.png
Île-de-France	https://www.20minutes.fr/dossier/ile-de-france	N/A	https://static.20mn.fr/region/ile-de-france.png
Normandie	https://www.20minutes.fr/dossier/normandie	N/A	https://static.20mn.fr/region/normandie.png
Nouvelle-Aquitaine	https://www.20minutes.fr/dossier/nouvelle-aquitaine	N/A	https://static.20mn.fr/region/nouvelle-aquitaine.png
